Ticker,Company,Sector,Industry,Price,52W High,52W Low,Market Cap (Cr),P/E Ratio,Forward P/E,P/B Ratio,PEG Ratio,EV/EBITDA,EPS,ROE (%),ROA (%),Profit Margin (%),Operating Margin (%),Revenue Growth (%),Earnings Growth (%),Debt/Equity,Current Ratio,Free Cash Flow (Cr),Dividend Yield,Promoter Holding (%),Inst. Holding (%)
RELIANCE.NS,Reliance Industries Limited,Energy,Oil & Gas Refining & Marketing,1313.6,1611.8,1253.2,1777625.52,21.999664,18.269482,1.9663346,0.82,12.211,59.71,9.14,3.67,7.64,9.98,12.5,-12.6,36.653,1.098,21829.13,0.46,51.18,29.01
TCS.NS,Tata Consultancy Services Limited,Technology,Information Technology Services,2109.0,3489.9,2055.0,763054.63,15.51534,12.727432,7.1153846,2.31,10.176,135.93,48.4,24.44,18.43,25.29,9.6,12.2,10.389,2.228,36946.75,6.02,71.8,17.83
HDFCBANK.NS,HDFC Bank Limited,Financial Services,Banks - Regional,793.2,1020.5,726.65,1221583.7,17.68562,12.62309,2.0834866,0.89,,44.85,13.82,1.7,26.83,40.54,-1.8,7.5,,,,1.68,0.17,58.12
INFY.NS,Infosys Limited,Technology,Information Technology Services,1056.6,1728.0,1026.0,427809.73,14.003977,12.870657,4.631911,2.0,940.115,75.45,31.44,15.09,16.43,20.93,6.6,11.8,9.827,1.978,317.02,4.86,16.36,51.83
ICICIBANK.NS,ICICI Bank Limited,Financial Services,Banks - Regional,1373.6,1500.0,1187.6,985218.63,18.361181,15.102141,2.709345,0.53,,74.81,16.36,2.08,24.93,33.29,66.9,8.4,,,,0.82,3.01,59.5
HINDUNILVR.NS,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products,2157.8,2750.0,2022.5,506994.83,47.791805,40.2329,10.402245,3.69,34.512,45.15,21.6,10.71,23.33,21.14,4.3,21.4,3.016,1.223,6524.75,2.04,62.27,20.89
ITC.NS,ITC Limited,Consumer Defensive,Tobacco,290.35,427.0,275.05,363793.11,17.59697,16.48431,5.017627,1.78,12.533,16.5,29.34,17.6,26.23,36.48,-5.0,-72.7,3.292,3.039,12366.96,5.52,27.18,52.31
SBIN.NS,State Bank of India,Financial Services,Banks - Regional,1034.6,1234.7,786.55,954999.71,11.350521,10.12567,1.6019969,0.53,,91.15,15.48,1.11,22.11,28.96,7.1,-3.1,,,,1.69,57.0,30.08
BHARTIARTL.NS,Bharti Airtel Limited,Communication Services,Telecom Services,1877.3,2174.5,1740.5,1171103.57,42.367413,22.811657,7.3628273,,10.946,44.31,19.36,7.85,12.65,32.23,15.7,-34.0,99.718,0.517,60950.84,0.84,51.89,34.66
KOTAKBANK.NS,Kotak Mahindra Bank Limited,Financial Services,Banks - Regional,405.95,453.2,345.5,403776.76,20.925259,14.498215,2.2289882,0.94,,19.4,11.39,2.05,26.05,35.12,-11.0,9.8,,,,0.12,28.42,49.84
LT.NS,Larsen & Toubro Limited,Industrials,Engineering & Construction,4181.7,4440.0,3288.1,575263.21,35.73492,22.794209,5.2635093,1.06,18.96,117.02,16.95,4.59,5.51,10.71,11.7,-34.5,97.64,1.251,26195.48,0.91,18.09,49.44
HCLTECH.NS,HCL Technologies Limited,Technology,Information Technology Services,1113.9,1780.1,1089.5,301395.35,18.15352,13.906129,3.9971142,2.39,1034.988,61.36,23.36,12.83,12.8,16.49,5.3,-0.2,6.935,2.217,185.05,8.65,62.76,28.54
ASIANPAINT.NS,Asian Paints Limited,Basic Materials,Specialty Chemicals,2667.5,2985.7,2115.0,255718.35,58.963306,45.534885,11.972244,,39.882,45.24,20.89,10.56,12.15,16.14,10.6,69.2,17.847,2.209,4340.87,1.03,52.88,28.22
AXISBANK.NS,Axis Bank Limited,Financial Services,Banks - Regional,1384.5,1418.3,1042.5,430634.85,16.376863,11.580708,2.0003815,0.54,,84.54,13.15,1.47,35.41,39.19,-11.2,6.4,,,,0.07,2.83,71.06
MARUTI.NS,Maruti Suzuki India Limited,Consumer Cyclical,Auto Manufacturers,13248.0,17370.0,12201.0,416520.52,28.383503,21.442955,3.8870194,0.77,18.906,466.75,14.43,6.55,8.01,8.41,28.2,-6.4,0.096,1.068,7713.18,1.04,60.28,29.06
SUNPHARMA.NS,Sun Pharmaceutical Industries Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1874.4,1916.6,1548.0,449731.36,39.19699,28.984087,5.387012,1.04,25.532,47.82,14.72,8.43,19.64,18.83,12.8,25.6,5.517,2.824,4931.94,0.86,55.61,31.48
TITAN.NS,Titan Company Limited,Consumer Cyclical,Luxury Goods,4323.8,4605.0,3303.1,383540.61,75.5117,50.4695,24.44551,,48.914,57.26,37.13,9.3,5.79,6.28,80.5,35.1,195.001,1.276,-6509.88,0.26,58.77,21.93
BAJFINANCE.NS,Bajaj Finance Limited,Financial Services,Credit Services,990.95,1102.5,787.9,616160.45,32.479515,20.028584,5.4040422,,,30.51,17.91,3.77,43.38,60.65,26.8,21.4,313.407,7.201,,0.56,56.49,26.97
ULTRACEMCO.NS,UltraTech Cement Limited,Basic Materials,Building Materials,11430.0,13110.0,10325.0,336235.88,41.26056,26.109545,4.667423,1.22,20.875,277.02,10.59,5.62,9.23,17.02,3.0,45.3,29.432,0.746,1815.76,0.69,61.74,23.29
WIPRO.NS,Wipro Limited,Technology,Information Technology Services,174.48,273.1,171.49,183058.2,13.891719,12.173144,2.0646076,1.22,8.707,12.56,15.44,6.91,14.25,17.18,7.7,-1.6,22.853,2.049,11535.54,9.74,72.68,14.58
ONGC.NS,Oil and Natural Gas Corporation Limited,Energy,Oil & Gas Integrated,240.0,307.5,228.61,301926.71,7.285975,5.574076,0.8121827,,4.334,32.94,12.7,5.3,6.25,9.21,1.9,47.8,42.548,0.84,29587.63,7.57,69.21,22.98
NTPC.NS,NTPC Limited,Utilities,Utilities - Regulated Electric,357.05,414.4,315.55,346219.48,11.729631,12.627392,1.7047516,,8.416,30.44,13.69,4.12,14.44,18.43,8.0,-1.6,118.127,0.825,-8074.93,3.11,53.55,38.95
POWERGRID.NS,Power Grid Corporation of India Limited,Utilities,Utilities - Regulated Electric,290.9,324.95,250.0,270554.55,14.45825,14.5151205,2.6912508,,10.901,20.12,16.49,5.56,34.08,49.47,-5.0,9.6,150.993,0.625,-8342.27,4.2,52.61,36.98
M&M.NS,Mahindra & Mahindra Limited,Consumer Cyclical,Auto Manufacturers,3064.5,3839.9,2896.0,367973.58,20.13866,19.169891,3.6783507,1.26,10.729,152.17,18.75,7.07,8.46,16.4,30.9,44.8,125.066,1.267,15655.24,1.09,25.31,53.03
TECHM.NS,Tech Mahindra Limited,Technology,Information Technology Services,1461.6,1854.0,1304.1,129471.79,26.95684,17.126396,4.3754845,1.86,13.251,54.22,16.61,9.52,8.47,13.83,12.6,15.9,7.269,1.902,4812.34,3.6,36.96,45.8
BAJAJFINSV.NS,Bajaj Finserv Ltd.,Financial Services,Financial Conglomerates,1780.5,2195.0,1597.0,284614.41,29.155067,19.34617,3.6486552,,12.13,61.07,14.6,4.92,6.57,37.21,5.3,5.7,256.36,2.651,-15775.72,0.07,63.93,15.55
